route,label,voyage_idx,sh_base,eta_h,sr_fuel_mt,luo_fuel_mt,gap_mt,gap_pct,sr_voyage_time_h,luo_voyage_time_h,sr_slack_h,luo_slack_h,sr_n_nodes,sr_n_edges,sr_build_s,sr_solve_s,luo_n_blocks,luo_solve_s
route1,Malacca,0,6,280,354.821,361.561,-6.74,-1.86,280.0,280.0,0.0,0.0,,,,,,
route1,Malacca,1,286,280,355.225,364.675,-9.45,-2.59,280.0,280.0,0.0,0.0,,,,,,
route1,Malacca,2,566,280,337.702,342.414,-4.713,-1.38,280.0,280.0,0.0,0.0,,,,,,
route1,Malacca,3,846,280,348.191,353.146,-4.955,-1.4,280.0,280.0,0.0,0.0,,,,,,
route1,Malacca,4,1126,280,337.604,340.874,-3.27,-0.96,280.0,280.0,0.0,0.0,,,,,,
route1,Malacca,5,1406,280,334.828,343.857,-9.029,-2.63,280.0,280.0,0.0,0.0,,,,,,
route1,Malacca,6,1686,280,345.728,352.312,-6.584,-1.87,280.0,280.0,0.0,0.0,,,,,,
route2,Atlantic,0,0,168,203.198,210.25,-7.052,-3.35,168.0,168.0,0.0,0.0,,,,,,
route2,Atlantic,1,168,168,204.167,209.507,-5.34,-2.55,168.0,168.0,0.0,0.0,,,,,,
route2,Atlantic,2,336,168,195.239,201.952,-6.713,-3.32,168.0,168.0,0.0,0.0,,,,,,
route2,Atlantic,3,504,168,206.124,212.224,-6.1,-2.87,168.0,168.0,0.0,0.0,,,,,,
route2,Atlantic,4,672,168,215.931,223.495,-7.565,-3.38,168.0,168.0,0.0,0.0,,,,,,
route2,Atlantic,5,840,168,190.752,196.894,-6.142,-3.12,168.0,168.0,0.0,0.0,,,,,,
route2,Atlantic,6,1008,168,227.914,233.853,-5.939,-2.54,168.0,168.0,0.0,0.0,,,,,,
route2,Atlantic,7,1176,168,194.397,198.253,-3.856,-1.94,168.0,168.0,0.0,0.0,,,,,,
route2,Atlantic,8,1344,168,194.641,197.054,-2.413,-1.22,168.0,168.0,0.0,0.0,,,,,,
route2,Atlantic,9,1512,168,192.75,196.896,-4.146,-2.11,168.0,168.0,0.0,0.0,,,,,,
route2,Atlantic,10,1680,168,199.101,203.488,-4.387,-2.16,168.0,168.0,0.0,0.0,,,,,,
route2,Atlantic,11,1848,168,198.568,204.405,-5.837,-2.86,168.0,168.0,0.0,0.0,,,,,,
