k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0.0,0.0,71.0,11.8333,8.932
1,6.0,71.0,149.0,13.0,11.7175
2,12.0,149.0,224.0,12.5,10.2645
3,18.0,224.0,292.0,11.3333,6.6537
4,24.0,292.0,361.0,11.5,6.5716
5,30.0,361.0,430.0,11.5,7.0983
6,36.0,430.0,498.0,11.3333,6.7543
7,42.0,498.0,571.0,12.1667,7.8353
8,48.0,571.0,642.0,11.8333,8.3469
9,54.0,642.0,709.0,11.1667,6.8197
10,60.0,709.0,776.0,11.1667,5.3334
11,66.0,776.0,840.0,10.6667,5.635
12,72.0,840.0,904.0,10.6667,5.6192
13,78.0,904.0,971.0,11.1667,5.8815
14,84.0,971.0,1047.0,12.6667,9.1333
15,90.0,1047.0,1115.0,11.3333,6.5669
16,96.0,1115.0,1186.0,11.8333,7.8069
17,102.0,1186.0,1259.0,12.1667,8.5808
18,108.0,1259.0,1330.0,11.8333,9.1222
19,114.0,1330.0,1404.0,12.3333,10.4978
20,120.0,1404.0,1471.0,11.1667,8.3768
21,126.0,1471.0,1535.0,10.6667,6.3595
22,132.0,1535.0,1598.0,10.5,5.6125
23,138.0,1598.0,1666.0,11.3333,5.7166
24,144.0,1666.0,1734.0,11.3333,6.5965
25,150.0,1734.0,1805.0,11.8333,7.9014
26,156.0,1805.0,1882.0,12.8333,8.3327
27,162.0,1882.0,1955.0,12.1667,8.3717
