k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0.0,0.0,65.0,10.8333,7.1425
1,6.0,65.0,132.0,11.1667,8.5178
2,12.0,132.0,199.869,11.3115,8.076
3,18.0,199.869,268.0,11.3552,6.5214
4,24.0,268.0,338.0,11.6667,6.5862
5,30.0,338.0,408.0,11.6667,6.9544
6,36.0,408.0,478.0,11.6667,7.8764
7,42.0,478.0,551.0,12.1667,8.3395
8,48.0,551.0,624.0,12.1667,7.9789
9,54.0,624.0,695.0,11.8333,7.7828
10,60.0,695.0,770.0,12.5,7.535
11,66.0,770.0,837.0,11.1667,6.5615
12,72.0,837.0,904.033,11.1722,6.3443
13,78.0,904.033,971.0,11.1611,5.874
14,84.0,971.0,1040.0,11.5,7.0555
15,90.0,1040.0,1109.0,11.5,6.8989
16,96.0,1109.0,1184.0,12.5,8.1973
17,102.0,1184.0,1253.0,11.5,7.3891
18,108.0,1253.0,1326.0,12.1667,9.7118
19,114.0,1326.0,1396.0,11.6667,7.7783
20,120.0,1396.0,1467.0,11.8333,9.644
21,126.0,1467.0,1531.0,10.6667,6.3575
22,132.0,1531.0,1596.855,10.9758,6.4186
23,138.0,1596.855,1666.0,11.5242,6.0327
24,144.0,1666.0,1734.0,11.3333,5.8814
25,150.0,1734.0,1810.0,12.6667,8.2299
26,156.0,1810.0,1889.0,13.1667,7.1307
27,162.0,1889.0,1954.699,10.9498,6.0342
