k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,72,12,8.25179
1,6,72,149,12.8333,8.7627
2,12,149,223,12.3333,10.1872
3,18,223,299,12.6667,9.21217
4,24,299,373,12.3333,9.45275
5,30,373,451,13,10.0017
6,36,451,530,13.1667,10.0852
7,42,530,607,12.8333,7.72581
8,48,607,686,13.1667,7.04869
9,54,686,763.148,12.858,8.71105
10,60,763.148,837,12.3087,7.43347
11,66,837,907,11.6667,6.84099
12,72,907,973,11,6.1221
13,78,973,1039,11,6.77718
14,84,1039,1107,11.3333,5.90075
15,90,1107,1177,11.6667,6.98679
16,96,1177,1250,12.1667,7.06422
17,102,1250,1328,13,7.44783
18,108,1328,1404,12.6667,6.83203
19,114,1404,1475,11.8333,7.00176
20,120,1475,1547,12,7.15047
21,126,1547,1616,11.5,6.67704
22,132,1616,1685,11.5,6.47643
23,138,1685,1755,11.6667,5.93609
24,144,1755,1835,13.3333,9.14204
25,150,1835,1908,12.1667,7.95405
26,156,1908,1977,11.5,7.18265
27,162,1977,2047,11.6667,6.30779
28,168,2047,2123,12.6667,7.67408
29,174,2123,2196,12.1667,8.02866
30,180,2196,2266,11.6667,8.34877
31,186,2266,2337,11.8333,8.57228
32,192,2337,2407,11.6667,7.62575
33,198,2407,2480,12.1667,8.21194
34,204,2480,2553,12.1667,7.39542
35,210,2553,2629,12.6667,8.47133
36,216,2629,2704,12.5,8.51076
37,222,2704,2776,12,7.79574
38,228,2776,2846,11.6667,7.36913
39,234,2846,2918,12,8.18073
40,240,2918,2991,12.1667,7.51261
41,246,2991,3064,12.1667,7.91938
42,252,3064,3137,12.1667,7.10767
43,258,3137,3212,12.5,7.96823
44,264,3212,3281,11.5,6.79025
45,270,3281,3349,11.3333,6.41384
46,276,3349,3393.24,11.06,4.15647
