k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,846,280,846,0,0,11.6667,,,6.92903,0.292449
1,852,274,852,0,70,11.6667,11.8333,-0.166667,6.96616,0.255071
2,858,268,858,0,140,12.1667,11.6667,0.5,6.39704,0.251165
3,864,262,864,0,213,10.6667,10.5,0.166667,5.93924,0.230555
4,870,256,870,0,277,11.1667,11.1667,0,5.69128,0.225081
5,876,250,876,0,344,12.3333,11.8333,0.5,7.4075,0.217516
6,882,244,882,0,418,11.8333,11.8333,0,8.03598,0.20457
7,888,238,888,0,489,12.3333,12.1667,0.166667,7.45577,0.193313
8,894,232,894,0,563,12.5,12.5,0,7.02812,0.178021
9,900,226,900,0,638,13.6667,13.5,0.166667,7.70524,0.163236
10,906,220,906,0,720,12.6667,12.6667,0,7.56457,0.159892
11,912,214,912,0,796,11.8333,11.8333,0,5.74825,0.158044
12,918,208,918,0,867,13.3333,12.6667,0.666667,8.35002,0.141315
13,924,202,924,0,947,12.1667,12.1667,0,7.38179,1053.07
14,930,196,930,0,1020,11.8333,11.8333,0,7.37083,0.127359
15,936,190,936,0,1091,10.8333,10.8333,0,5.89881,0.116668
16,942,184,942,0,1156,10.8333,10.8333,0,5.79969,0.103935
17,948,178,948,0,1221,11.6667,11.6667,0,5.78272,0.0973732
18,954,172,954,0,1291,12.3333,12.3333,0,7.5161,0.0785588
19,960,166,960,0,1365,11.5,12,-0.5,6.76822,0.0727668
20,966,160,966,0,1434,11,11,0,6.42444,0.0734978
21,972,154,972,0,1500,11.3333,11.3333,0,6.31205,0.0637027
22,978,148,978,0,1568,11.8333,11.8333,0,6.63867,0.0579742
23,984,142,984,0,1639,11.5,11.5,0,6.35693,0.0552373
24,990,136,990,0,1708,11.8333,11.6667,0.166667,6.58488,0.0477737
25,996,130,996,0,1779,11.6667,11.8333,-0.166667,6.61201,0.046153
26,1002,124,1002,0,1849,11.8333,11.8333,0,6.7444,0.0522669
27,1008,118,1008,0,1920,11.6667,11.6667,0,6.74916,0.0367599
28,1014,112,1014,0,1990,11.5,11.5,0,6.78192,0.0340423
29,1020,106,1020,0,2059,10.6667,10.6667,0,5.01814,0.0289753
30,1026,100,1026,0,2123,13.3333,13.5,-0.166667,10.4173,0.0260466
31,1032,94,1032,0,2203,12.8333,12.8333,0,10.1143,0.0224328
32,1038,88,1038,0,2280,12.6667,12.6667,0,9.10669,0.0196871
33,1044,82,1044,0,2356,12.6667,12.6667,0,8.14439,0.0186643
34,1050,76,1050,0,2432,12.6667,12.5,0.166667,8.22626,0.0148681
35,1056,70,1056,0,2508,12.5,12.5,0,7.85665,0.0123212
36,1062,64,1062,0,2583,13.8333,13.6667,0.166667,11.0222,0.010199
37,1068,58,1068,0,2666,12,12,0,7.84981,0.00961846
38,1074,52,1074,0,2738,12.1443,12.1443,0,7.30571,0.00678679
39,1080,46,1080,0,2810.87,12.1891,12.1891,0,7.1817,0.00508688
40,1086,40,1086,0,2884,12.6667,12.8333,-0.166667,8.71745,0.00384975
41,1092,34,1092,0,2960,12,12,0,8.57342,0.00256192
42,1098,28,1098,0,3032,12,12,0,8.13006,0.0015945
43,1104,22,1104,0,3104,13.3333,13.3333,0,9.40885,0.000930583
44,1110,16,1110,0,3184,13,13,0,9.45447,0.000552666
45,1116,10,1116,0,3262,13.1667,13.1667,0,10.3622,0.000203375
46,1122,4,1122,0,3341,13.06,13.06,0,6.49972,4.0334e-05
