k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,67,11.1667,6.29792
1,6,67,136,11.5,5.99825
2,12,136,200,10.6667,6.5469
3,18,200,256,9.33333,5.09795
4,24,256,322,11,5.4723
5,30,322,390,11.3333,7.63255
6,36,390,459,11.5,8.97402
7,42,459,533,12.3333,8.0976
8,48,533,603,11.6667,6.79565
9,54,603,677,12.3333,7.49976
10,60,677,754,12.8333,8.59125
11,66,754,827,12.1667,7.23115
12,72,827,898,11.8333,8.31069
13,78,898,970,12,7.40067
14,84,970,1044,12.3333,7.30495
15,90,1044,1117,12.1667,6.78814
16,96,1117,1188,11.8333,6.76578
17,102,1188,1261,12.1667,7.26587
18,108,1261,1333,12,7.52583
19,114,1333,1409,12.6667,9.40512
20,120,1409,1482,12.1667,6.97589
21,126,1482,1552,11.6667,6.57217
22,132,1552,1625,12.1667,6.91261
23,138,1625,1698,12.1667,6.70132
24,144,1698,1771,12.1667,6.78301
25,150,1771,1844,12.1667,6.85781
26,156,1844,1918,12.3333,6.75816
27,162,1918,1990,12,7.00362
28,168,1990,2064,12.3333,7.83828
29,174,2064,2140,12.6667,8.20008
30,180,2140,2214,12.3333,8.81562
31,186,2214,2287,12.1667,7.04946
32,192,2287,2360,12.1667,7.4885
33,198,2360,2432,12,7.91757
34,204,2432,2507,12.5,9.38923
35,210,2507,2584,12.8333,9.52228
36,216,2584,2657,12.1667,7.55833
37,222,2657,2735,13,7.96527
38,228,2735,2814,13.1667,7.22678
39,234,2814,2891,12.8333,7.37931
40,240,2891,2968,12.8333,7.963
41,246,2968,3043,12.5,8.68831
42,252,3043,3116,12.1667,9.00397
43,258,3116,3190,12.3333,8.59317
44,264,3190,3266,12.6667,8.89175
45,270,3266,3342,12.6667,9.79021
46,276,3342,3393,12.75,6.24883
