k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,504,168,504,0,0,11.6667,,,6.48236,6.15524
1,510,162,510,0,70,11.1667,11.1667,0,6.26955,5.82743
2,516,156,516,0,137,10.3333,10.3333,0,5.54527,5.43449
3,522,150,522,0,199,11.6667,10.1667,1.5,9.45634,5.07883
4,528,144,528,0,269,10.8333,11.5,-0.666667,8.57862,4.71485
5,534,138,534,0,334,12,11.3333,0.666667,11.0975,4.34122
6,540,132,534,6,406,12.6667,12.1667,0.5,12.1429,3.90118
7,546,126,546,0,482,12,11.8333,0.166667,8.72669,3.62942
8,552,120,552,0,554,11.8333,12,-0.166667,8.83224,3.2637
9,558,114,558,0,625,12.1667,12.5,-0.333333,8.75067,2.90231
10,564,108,564,0,698,11.8333,12.5,-0.666667,7.81473,2.66192
11,570,102,570,0,769,12.3333,12,0.333333,7.76927,2.32061
12,576,96,576,0,843,12.3333,12,0.333333,7.21546,2.05454
13,582,90,582,0,917,12.1667,11.8333,0.333333,7.65794,1.90678
14,588,84,588,0,990,11.5,11.6667,-0.166667,7.81855,1.59793
15,594,78,594,0,1059,12,12.1667,-0.166667,9.07607,1.34355
16,600,72,600,0,1131,13,11.5,1.5,11.7166,1.14312
17,606,66,606,0,1209,12,12,0,7.25653,0.989198
18,612,60,612,0,1281,11.5,12.1667,-0.666667,6.91389,0.834429
19,618,54,618,0,1350,11.8333,12.1667,-0.333333,7.00388,0.646891
20,624,48,624,0,1421,12.6667,11.8333,0.833333,8.40325,0.507165
21,630,42,630,0,1497,12.3333,12.1667,0.166667,8.13442,0.379406
22,636,36,636,0,1571,11.8333,11.8333,0,7.62542,0.255684
23,642,30,642,0,1642,11.8333,12,-0.166667,6.78163,0.16582
24,648,24,648,0,1713,11.1667,12.3333,-1.16667,5.56846,0.0961766
25,654,18,654,0,1780,10.3333,9.83333,0.5,4.45281,0.0387654
26,660,12,660,0,1842,10.5,10.6667,-0.166667,4.94553,0.00940229
27,666,6,666,0,1905,8.33333,8.33333,0,3.96923,0.000217958
