route,label,voyage_idx,sh_base,eta_h,sr_fuel_mt,luo_fuel_mt,baseline_fuel_mt,gap_mt,gap_pct,gap_sr_baseline_mt,gap_sr_baseline_pct,gap_luo_baseline_mt,gap_luo_baseline_pct,sr_voyage_time_h,luo_voyage_time_h,sr_slack_h,luo_slack_h,sr_n_nodes,sr_n_edges,sr_build_s,sr_solve_s,luo_n_blocks,luo_solve_s
route1,Malacca,0,6,280,354.914,361.671,362.743,-6.757000000000005,-1.8682725460432286,-7.829000000000008,-2.1582773478743924,-1.0720000000000027,-0.29552603358300583,280.0,280.0,0.0,0.0,152571,9214780,13.7,0.29,47,23.68
route1,Malacca,1,286,280,355.228,364.678,367.034,-9.449999999999989,-2.5913271433977343,-11.805999999999983,-3.216595737724566,-2.3559999999999945,-0.6419023850651424,280.0,280.0,0.0,0.0,152571,9214780,13.1,0.27,47,20.36
route1,Malacca,2,566,280,338.25,343.325,345.423,-5.074999999999989,-1.4781912182334491,-7.173000000000002,-2.0765843617825106,-2.098000000000013,-0.6073712520590734,280.0,280.0,0.0,0.0,152571,9214780,13.4,0.27,47,25.35
route1,Malacca,3,846,280,348.528,353.302,354.735,-4.774000000000001,-1.3512519034706854,-6.206999999999994,-1.7497568607552096,-1.4329999999999927,-0.40396352206576536,280.0,280.0,0.0,0.0,152571,9214780,13.1,0.26,47,16.6
route1,Malacca,4,1126,280,337.606,340.889,342.677,-3.2830000000000155,-0.9630700902639908,-5.071000000000026,-1.479819188331877,-1.788000000000011,-0.5217741488340364,280.0,280.0,0.0,0.0,152571,9214780,12.9,0.25,47,20.06
route1,Malacca,5,1406,280,335.233,344.184,346.186,-8.951000000000022,-2.6006438416660917,-10.952999999999975,-3.163906108277046,-2.0019999999999527,-0.5783018377403918,280.0,280.0,0.0,0.0,152571,9214780,12.9,0.25,47,20.53
route1,Malacca,6,1686,280,347.23,353.323,356.032,-6.092999999999961,-1.724484395298342,-8.801999999999964,-2.472249685421525,-2.709000000000003,-0.760886661873091,280.0,280.0,0.0,0.0,152571,9214780,13.0,0.25,47,17.05
route1,Malacca,7,1966,280,331.99,339.193,340.285,-7.2029999999999745,-2.1235697670647613,-8.295000000000016,-2.4376625475704237,-1.0920000000000414,-0.3209074746168774,280.0,280.0,0.0,0.0,152571,9214780,12.9,0.25,47,20.87
route1,Malacca,8,2246,280,339.479,343.809,346.05,-4.330000000000041,-1.2594202013327287,-6.571000000000026,-1.8988585464528325,-2.2409999999999854,-0.6475942782834808,280.0,280.0,0.0,0.0,152571,9214780,13.1,0.28,47,20.86
route1,Malacca,9,2526,280,349.292,355.705,358.688,-6.413000000000011,-1.802898469237152,-9.396000000000015,-2.6195467927558256,-2.983000000000004,-0.8316419841199049,280.0,280.0,0.0,0.0,152571,9214780,13.1,0.27,47,17.89
route1,Malacca,10,2806,280,356.368,366.289,368.499,-9.920999999999992,-2.708517045283913,-12.131000000000029,-3.292003506115357,-2.2100000000000364,-0.5997302570699069,280.0,280.0,0.0,0.0,152571,9214780,13.1,0.27,47,22.62
route1,Malacca,11,3086,280,347.889,354.197,356.871,-6.307999999999993,-1.7809298215399882,-8.981999999999971,-2.5168758458938867,-2.673999999999978,-0.7492903598218904,280.0,280.0,0.0,0.0,152571,9214780,13.4,0.29,47,21.82
route1,Malacca,12,3366,280,362.263,366.403,370.622,-4.140000000000043,-1.1299034123629017,-8.359000000000037,-2.2553976828143063,-4.218999999999994,-1.1383566005256012,280.0,280.0,0.0,0.0,152571,9214780,13.3,0.3,47,18.76
route2,Atlantic,0,0,168,203.357,210.48,212.609,-7.1229999999999905,-3.3841695172938002,-9.25200000000001,-4.351650212361664,-2.129000000000019,-1.0013687096971524,168.0,168.0,0.0,0.0,71861,4325288,6.3,0.11,28,7.99
