time_h,distance_nm,lat_deg,lon_deg,bearing_deg,sog_kn,sws_kn,fcr_mt_per_h,fuel_mt,duration_h,wind_speed_kmh,wind_dir_deg,beaufort,wave_height_m,current_vel_kmh,current_dir_deg
0,0,24.75,52.83,61.25,12.1187,12.4762,1.37104,1.18796,0.866461,32.8371,322.125,5,0.42,1.298,123.69
0.866461,10.5004,24.8351,53,61.25,12.1187,12.4762,1.37104,2.30288,1.67966,32.8371,322.125,5,0.42,1.298,123.69
2.54612,30.8557,25,53.3295,61.25,12.1187,12.1814,1.27613,1.10865,0.868759,30.3128,307.278,5,0.36,1.70763,108.435
3.41488,41.3839,25.0852,53.5,61.25,12.1187,12.251,1.29813,3.30816,2.54842,30.7991,290.559,5,0.333333,1.52005,108.384
5.96329,72.2674,25.3347,54,61.25,12.1187,12.3096,1.31684,2.22637,1.69069,29.4431,281.997,5,0.36,1.31042,105.945
7.65398,92.7564,25.5,54.3317,61.25,12.1187,12.2675,1.30337,1.11794,0.857726,28.9817,276.419,5,0.4,1.27279,98.13
8.51171,103.151,25.5838,54.5,61.25,12.1187,11.8665,1.17969,3.00634,2.54842,31.4926,270.475,5,0.38,1.51988,88.6594
11.0601,134.034,25.8323,55,61.25,12.1187,11.7419,1.14294,1.96932,1.72303,30.1413,262.451,5,0.42,1.8,90
12.7832,154.915,26,55.3381,61.25,12.1187,11.6541,1.11747,0.922346,0.825388,30.7837,259.216,5,0.46,1.98,90
13.6085,164.918,26.0803,55.5,61.25,12.1187,11.546,1.08668,2.76931,2.54842,28.64,242.907,5,0.54,1.96392,66.3355
16.157,195.802,26.3277,56,61.25,12.1187,11.546,1.08668,1.9313,1.77724,28.64,242.907,5,0.54,1.96392,66.3355
17.9342,217.339,26.5,56.3487,61.25,12.1187,11.7236,1.1376,0.58738,0.51633,35.4266,217.569,5,0.86,1.65952,49.3988
18.4505,223.597,26.55,56.45,61.25,12.1187,12.121,1.25724,0.330528,0.2629,42.4067,229.821,6,1,1.13842,71.5649
18.7134,226.783,26.5224,56.5,121.53,12.1187,12.6538,1.43044,0.305296,0.213429,42.4067,229.821,6,1,1.13842,71.5649
18.9269,229.369,26.5,56.5406,121.53,12.1187,12.6538,1.43044,3.45533,2.41558,42.4067,229.821,6,1,1.13842,71.5649
21.3424,258.643,26.2461,57,121.53,12.1187,12.5073,1.38133,3.22735,2.33641,5.18472,184.011,1,0.1,0.859766,335.022
23.6788,286.957,26,57.4444,121.53,12.1187,12.5073,1.38133,0.404173,0.292596,5.18472,184.011,1,0.1,0.859766,335.022
23.9714,290.503,25.9691,57.5,121.53,12.1187,12.0605,1.23853,3.2561,2.629,5.23812,239.707,1,0.16,0.194164,67.9763
