block,time_h,distance_nm,lat_deg,lon_deg,bearing_deg,sog_kn,sws_kn,fcr_mt_per_h,fuel_mt,duration_h,wind_speed_kmh,wind_dir_deg,beaufort,wave_height_m,current_vel_kmh,current_dir_deg
0,0,0,24.75,52.83,61.25,12,12.3572,1.33218,1.1657,0.875033,32.8371,322.125,5,0.42,1.298,123.69
0,0.875033,10.5004,24.8351,53,61.25,12,12.3572,1.33218,2.25974,1.69627,32.8371,322.125,5,0.42,1.298,123.69
0,2.57131,30.8557,25,53.3295,61.25,12,12.0624,1.23909,1.08712,0.877353,30.3128,307.278,5,0.36,1.70763,108.435
0,3.44866,41.3839,25.0852,53.5,61.25,12,12.132,1.26066,3.21637,2.55134,30.7991,290.559,5,0.333333,1.52005,108.384
1,6,72,25.3326,53.9957,61.25,12,12.132,1.26066,0.0280962,0.0222869,30.7991,290.559,5,0.333333,1.52005,108.384
1,6.02229,72.2674,25.3347,54,61.25,12,12.1906,1.27901,2.18381,1.70742,29.4431,281.997,5,0.36,1.31042,105.945
1,7.7297,92.7564,25.5,54.3317,61.25,12,12.1484,1.2658,1.09645,0.866212,28.9817,276.419,5,0.4,1.27279,98.13
1,8.59591,103.151,25.5838,54.5,61.25,12,11.7456,1.14401,2.94426,2.57363,31.4926,270.475,5,0.38,1.51988,88.6594
1,11.1695,134.034,25.8323,55,61.25,12,11.6193,1.10749,0.919727,0.830459,30.1413,262.451,5,0.42,1.8,90
2,12,144,25.9124,55.1613,61.25,12.1667,11.7914,1.15744,1.0384,0.897153,30.1413,262.451,5,0.42,1.8,90
2,12.8972,154.915,26,55.3381,61.25,12.1667,11.7035,1.13175,0.930453,0.822135,30.7837,259.216,5,0.46,1.98,90
2,13.7193,164.918,26.0803,55.5,61.25,12.1667,11.5955,1.1007,2.79398,2.53837,28.64,242.907,5,0.54,1.96392,66.3355
2,16.2577,195.802,26.3277,56,61.25,12.1667,11.5955,1.1007,1.91779,1.74234,28.64,242.907,5,0.54,1.96392,66.3355
3,18,217,26.4973,56.3432,61.25,12.1667,11.7731,1.15206,0.0321418,0.0278995,35.4266,217.569,5,0.86,1.65952,49.3988
3,18.0279,217.339,26.5,56.3487,61.25,12.1667,11.7731,1.15206,0.592498,0.514295,35.4266,217.569,5,0.86,1.65952,49.3988
3,18.5422,223.597,26.55,56.45,61.25,12.1667,12.1704,1.27268,0.33327,0.261864,42.4067,229.821,6,1,1.13842,71.5649
3,18.8041,226.783,26.5224,56.5,121.53,12.1667,12.6996,1.44602,0.307405,0.212587,42.4067,229.821,6,1,1.13842,71.5649
3,19.0166,229.369,26.5,56.5406,121.53,12.1667,12.6996,1.44602,3.4792,2.40606,42.4067,229.821,6,1,1.13842,71.5649
3,21.4227,258.643,26.2461,57,121.53,12.1667,12.5549,1.39717,3.25148,2.3272,5.18472,184.011,1,0.1,0.859766,335.022
3,23.7499,286.957,26,57.4444,121.53,12.1667,12.5549,1.39717,0.349428,0.250098,5.18472,184.011,1,0.1,0.859766,335.022
4,24,290,25.9735,57.4921,121.53,12.3333,12.5531,1.39655,0.056961,0.0407868,3.39623,237.995,1,0.12,0.402492,296.565
4,24.0408,290.503,25.9691,57.5,121.53,12.3333,12.2748,1.30571,3.37298,2.58326,5.23812,239.707,1,0.16,0.194164,67.9763
4,26.624,322.363,25.6915,58,121.53,12.3333,12.2748,1.30571,2.32246,1.7787,5.23812,239.707,1,0.16,0.194164,67.9763
4,28.4027,344.3,25.5,58.3443,121.53,12.3333,12.392,1.34346,1.08089,0.804556,11.441,245.854,2,0.32,0.18,0
4,29.2073,354.223,25.4133,58.5,121.53,12.3333,12.4615,1.36622,1.083,0.792701,17.3884,242.905,3,0.32,0.18,270
5,30,364,25.3277,58.6534,121.53,12.1667,12.4744,1.37044,2.48746,1.81508,16.7701,236.316,3,0.346667,0.489737,292.273
5,31.8151,386.084,25.1344,59,121.53,12.1667,12.207,1.28421,1.61727,1.25935,14.5121,223.995,3,0.4,1.04957,30.9637
5,33.0744,401.406,25,59.2405,121.53,12.1667,12.0532,1.23627,1.68045,1.35929,12.5705,217.965,3,0.42,0.651246,58.2825
5,34.4337,417.944,24.8548,59.5,121.53,12.1667,12.2913,1.31097,2.05334,1.56627,11.3842,214.695,2,0.47,0.254558,270
6,36,437,24.6873,59.7991,121.53,11.8333,11.9598,1.20776,1.30681,1.08201,11.3842,214.695,2,0.47,0.254558,270
6,37.082,449.804,24.5746,60,121.53,11.8333,12.6849,1.44102,1.03206,0.716202,11.5929,216.158,2,0.5,1.98816,264.806
6,37.7982,458.279,24.5,60.133,121.53,11.8333,12.6849,1.44102,2.84775,1.97621,11.5929,216.158,2,0.5,1.98816,264.806
6,39.7744,481.664,24.2938,60.5,121.53,11.8333,12.3572,1.33218,2.72594,2.04623,11.592,212.892,2,0.54,1.01021,282.78
6,41.8207,505.878,24.08,60.88,121.53,11.8333,11.806,1.16176,0.20836,0.179349,13.0481,207.881,3,0.59,0.201246,76.7175
7,42,508,24.0637,60.914,117.61,12.3333,12.2986,1.31332,0.571934,0.435488,13.0481,207.881,3,0.59,0.201246,76.7175
7,42.4355,513.371,24.0224,61,117.61,12.3333,12.2986,1.31332,0.30931,0.235518,13.0481,207.881,3,0.59,0.201246,76.7175
7,42.671,516.276,24,61.0465,117.61,12.3333,12.3718,1.33692,3.06958,2.29601,15.0826,205.958,3,0.606667,0.755927,27.7055
7,44.967,544.593,23.7819,61.5,117.61,12.3333,12.2913,1.31097,3.31876,2.53152,15.6376,212.757,3,0.61,1.10107,34.8118
7,47.4985,575.815,23.541,62,117.61,12.3333,12.1649,1.27096,0.546465,0.429962,15.5801,220.314,3,0.62,0.9,53.13
7,47.9285,581.118,23.5,62.0849,117.61,12.3333,12.1649,1.27096,0.0908801,0.071505,15.5801,220.314,3,0.62,0.9,53.13
8,48,582,23.4932,62.099,117.61,12.3333,12.0111,1.22336,2.48349,2.03006,15.6647,226.408,3,0.59,0.943577,73.4443
8,50.0301,607.037,23.2996,62.5,117.61,12.3333,12.0111,1.22336,3.09696,2.53152,15.6647,226.408,3,0.59,0.943577,73.4443
8,52.5616,638.259,23.0578,63,117.61,12.3333,12.0367,1.23121,0.744259,0.604494,15.3792,237.426,3,0.58,0.72,90
8,53.1661,645.715,23,63.1194,117.61,12.3333,12.0551,1.23684,1.03143,0.833927,14.8996,241.882,3,0.57,0.731079,82.9819
9,54,656,22.9202,63.2841,117.61,12.5,12.2217,1.28884,1.39004,1.07853,14.8996,241.882,3,0.57,0.731079,82.9819
9,55.0785,669.482,22.8156,63.5,117.61,12.5,12.2345,1.29289,3.22935,2.49777,13.931,247.205,3,0.58,0.868328,68.7609
9,57.5763,700.704,22.5729,64,117.61,12.5,12.2345,1.29289,0.969066,0.749532,13.931,247.205,3,0.58,0.868328,68.7609
9,58.3258,710.073,22.5,64.15,117.61,12.5,12.0276,1.2284,2.05656,1.67417,12.5226,251.565,3,0.52,0.96933,111.801
10,60,731,22.337,64.4852,117.61,13,12.5256,1.38741,0.0988058,0.0712161,12.5226,251.565,3,0.52,0.96933,111.801
10,60.0712,731.926,22.3298,64.5,117.61,13,12.5256,1.38741,3.33214,2.4017,12.5226,251.565,3,0.52,0.96933,111.801
10,62.4729,763.148,22.0863,65,117.61,13,13.2709,1.65007,1.40265,0.85005,10.3902,255.964,2,0.52,0.742159,345.964
10,63.323,774.199,22,65.177,117.61,13,13.2709,1.65007,2.56034,1.55165,10.3902,255.964,2,0.52,0.742159,345.964
10,64.8746,794.37,21.8424,65.5,117.61,13,13.2764,1.65212,1.82524,1.10478,9.35814,259.004,2,0.52,0.666443,256.717
10,65.9794,808.732,21.73,65.73,117.61,13,13.3698,1.68723,0.0347557,0.0205992,7.23627,270.573,2,0.52,0.9545,253.155
11,66,809,21.7267,65.7331,139.03,12.1667,12.3773,1.3387,1.99941,1.49355,7.23627,270.573,2,0.52,0.9545,253.155
11,67.4935,827.171,21.5,65.9435,139.03,12.1667,12.3773,1.3387,0.536654,0.400876,7.23627,270.573,2,0.52,0.9545,253.155
11,67.8944,832.049,21.4391,66,139.03,12.1667,12.359,1.33277,3.84583,2.88559,5.53754,293.639,1,0.52,0.48387,275.705
11,70.78,867.157,21,66.4065,139.03,12.1667,12.5092,1.38194,0.916717,0.663356,5.09117,315,1,0.54,0.648999,303.69
11,71.4434,875.228,20.8989,66.5,139.03,12.1667,12.5092,1.38194,0.76923,0.556631,5.09117,315,1,0.54,0.648999,303.69
12,72,882,20.814,66.5784,139.03,12,12.381,1.33989,2.79239,2.08404,5.56097,337.053,1,0.56,0.706362,327.314
