time_h,distance_nm,lat_deg,lon_deg,bearing_deg,sog_kn,sws_kn,fcr_mt_per_h,fuel_mt,duration_h,wind_speed_kmh,wind_dir_deg,beaufort,wave_height_m,current_vel_kmh,current_dir_deg
0,0,24.75,52.83,61.25,11.6671,12.0239,1.22728,1.10455,0.9,32.8371,322.125,5,0.42,1.298,123.69
0.9,10.5004,24.8351,53,61.25,11.9737,12.3315,1.32391,2.25064,1.7,32.8371,322.125,5,0.42,1.298,123.69
2.6,30.8557,25,53.3295,61.25,11.698,11.7603,1.1483,1.03347,0.9,30.3128,307.278,5,0.36,1.70763,108.435
3.5,41.3839,25.0852,53.5,61.25,11.8464,11.9781,1.21332,3.03329,2.5,30.7991,290.559,5,0.333333,1.52005,108.384
6,71,25.3245,53.9795,61.25,12.6744,12.8058,1.4826,0.14826,0.1,30.7991,290.559,5,0.333333,1.52005,108.384
6.1,72.2674,25.3347,54,61.25,12.0523,12.2418,1.29522,2.20187,1.7,29.4431,281.997,5,0.36,1.31042,105.945
7.8,92.7564,25.5,54.3317,61.25,11.5495,11.6962,1.12963,1.01667,0.9,28.9817,276.419,5,0.4,1.27279,98.13
8.7,103.151,25.5838,54.5,61.25,11.8783,11.6193,1.10749,2.87948,2.6,31.4926,270.475,5,0.38,1.51988,88.6594
11.3,134.034,25.8323,55,61.25,12.8079,12.4524,1.36321,0.954248,0.7,30.1413,262.451,5,0.42,1.8,90
12,143,25.9043,55.1452,61.25,11.9154,11.5314,1.08255,1.08255,1,30.1413,262.451,5,0.42,1.8,90
13,154.915,26,55.3381,61.25,12.5033,12.0514,1.23571,0.988567,0.8,30.7837,259.216,5,0.46,1.98,90
13.8,164.918,26.0803,55.5,61.25,12.3534,11.7877,1.15636,2.89091,2.5,28.64,242.907,5,0.54,1.96392,66.3355
16.3,195.802,26.3277,56,61.25,12.4697,11.9086,1.19229,2.0269,1.7,28.64,242.907,5,0.54,1.96392,66.3355
18,217,26.4973,56.3432,61.25,11.6667,11.2567,1.00702,6.04214,6,35.4266,217.569,5,0.86,1.65952,49.3988
24,287,25.9996,57.445,121.53,11.6768,12.0477,1.23458,0.370375,0.3,2.30512,231.34,1,0.1,0.804985,333.435
24.3,290.503,25.9691,57.5,121.53,11.3786,11.3208,1.02432,2.8681,2.8,5.23812,239.707,1,0.16,0.194164,67.9763
27.1,322.363,25.6915,58,121.53,10.9686,10.9106,0.916972,1.83394,2,5.23812,239.707,1,0.16,0.194164,67.9763
29.1,344.3,25.5,58.3443,121.53,11.0254,11.0864,0.96201,0.865809,0.9,11.441,245.854,2,0.32,0.18,0
30,354.223,25.4133,58.5,121.53,10.9863,11.123,0.971574,2.81757,2.9,17.3884,242.905,3,0.32,0.18,270
32.9,386.084,25.1344,59,121.53,10.9444,10.9894,0.936967,1.31175,1.4,14.5121,223.995,3,0.4,1.04957,30.9637
34.3,401.406,25,59.2405,121.53,11.0254,10.918,0.91882,1.37823,1.5,12.5705,217.965,3,0.42,0.651246,58.2825
35.8,417.944,24.8548,59.5,121.53,10.2817,10.4089,0.796203,0.159241,0.2,11.3842,214.695,2,0.47,0.254558,270
36,420,24.8367,59.5323,121.53,11.0385,11.1652,0.982652,2.65316,2.7,11.3842,214.695,2,0.47,0.254558,270
38.7,449.804,24.5746,60,121.53,10.5938,11.4435,1.05798,0.846387,0.8,11.5929,216.158,2,0.5,1.98816,264.806
39.5,458.279,24.5,60.133,121.53,10.6296,11.4801,1.06817,2.34998,2.2,11.5929,216.158,2,0.5,1.98816,264.806
41.7,481.664,24.2938,60.5,121.53,11.12,11.6449,1.11484,0.334451,0.3,11.592,212.892,2,0.54,1.01021,282.78
42,485,24.2644,60.5524,121.53,11.5987,11.5735,1.09445,1.97002,1.8,13.0481,207.881,3,0.59,0.201246,76.7175
43.8,505.878,24.08,60.88,121.53,12.4888,12.4579,1.36502,0.81901,0.6,13.0481,207.881,3,0.59,0.201246,76.7175
44.4,513.371,24.0224,61,117.61,9.68239,9.6582,0.636054,0.190816,0.3,13.0481,207.881,3,0.59,0.201246,76.7175
44.7,516.276,24,61.0465,117.61,11.327,11.3721,1.0383,2.59575,2.5,15.0826,205.958,3,0.606667,0.755927,27.7055
47.2,544.593,23.7819,61.5,117.61,11.7586,11.72,1.13654,0.909231,0.8,15.6376,212.757,3,0.61,1.10107,34.8118
