k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,realised_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s,sub_wall_s
0,0,168.0,0,0,0.0,11.8333,11.8333,,,8.932,2080.78,2080.8
1,6,162.0,0,6,71.0,13.0,13.0,12.1667,0.8333,11.7175,73.75,73.8
2,12,156.0,0,12,149.0,12.5,12.5,12.1667,0.3333,10.2645,71.08,71.1
3,18,150.0,18,0,224.0,11.3333,11.3333,12.0,-0.6667,6.6537,65.19,65.2
4,24,144.0,24,0,292.0,11.5,11.5,11.5,0.0,6.5716,59.95,60.0
5,30,138.0,30,0,361.0,11.5,11.5,11.5,0.0,7.0983,55.45,55.5
6,36,132.0,36,0,430.0,11.3333,11.3333,11.5,-0.1667,6.7543,50.78,50.8
7,42,126.0,42,0,498.0,12.1667,12.1667,11.3333,0.8333,7.8353,46.05,46.1
8,48,120.0,48,0,571.0,11.8333,11.8333,11.8333,0.0,8.3469,41.53,41.5
9,54,114.0,54,0,642.0,11.1667,11.1667,11.6667,-0.5,6.8197,36.41,36.4
10,60,108.0,60,0,709.0,11.1667,11.1667,12.0,-0.8333,5.3334,1018.28,1018.3
11,66,102.0,66,0,776.0,10.6667,10.6667,10.6667,0.0,5.635,27.26,27.3
12,72,96.0,72,0,840.0,10.6667,10.6667,10.6667,0.0,5.6192,23.84,23.8
13,78,90.0,78,0,904.0,11.1667,11.1667,11.1667,0.0,5.8815,21.24,21.2
14,84,84.0,84,0,971.0,12.6667,12.6667,11.5,1.1667,9.1333,18.3,18.3
15,90,78.0,90,0,1047.0,11.3333,11.3333,12.8333,-1.5,6.5669,3099.13,3099.1
16,96,72.0,96,0,1115.0,11.8333,11.8333,11.0,0.8333,7.8069,13.44,13.4
17,102,66.0,102,0,1186.0,12.1667,12.1667,11.8333,0.3333,8.5808,1011.93,1011.9
18,108,60.0,108,0,1259.0,11.8333,11.8333,13.1667,-1.3333,9.1222,9.01,9.0
19,114,54.0,114,0,1330.0,12.3333,12.3333,11.3333,1.0,10.4978,222.53,222.5
20,120,48.0,120,0,1404.0,11.1667,11.1667,10.8333,0.3333,8.3768,5.96,6.0
21,126,42.0,126,0,1471.0,10.6667,10.6667,10.5,0.1667,6.3595,4.31,4.3
22,132,36.0,132,0,1535.0,10.5,10.5,11.0,-0.5,5.6125,9.56,9.6
23,138,30.0,138,0,1598.0,11.3333,11.3333,11.3333,0.0,5.7166,3.49,3.5
24,144,24.0,144,0,1666.0,11.3333,11.3333,11.3333,0.0,6.5965,1041.58,1041.6
25,150,18.0,150,0,1734.0,11.8333,11.8333,12.1667,-0.3333,7.9014,0.53,0.5
26,156,12.0,156,0,1805.0,12.8333,12.8333,12.8333,0.0,8.3327,0.14,0.1
27,162,6.0,162,0,1882.0,12.1667,12.1667,12.1667,0.0,8.3717,0.0,0.0
