k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,realised_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s,sub_wall_s
0,0,168.0,0,0,0.0,10.8333,10.8333,,,7.1425,3.82,91.9
1,6,162.0,0,6,65.0,11.1667,11.1667,11.1667,0.0,8.5178,3.51,116.5
2,12,156.0,0,12,132.0,11.3115,11.3115,11.3115,0.0,8.076,3.37,81.5
3,18,150.0,18,0,199.869,11.3552,11.3552,11.3552,0.0,6.5214,3.13,76.3
4,24,144.0,24,0,268.0,11.6667,11.6667,11.6667,0.0,6.5862,2.9,70.2
5,30,138.0,30,0,338.0,11.6667,11.6667,11.6667,0.0,6.9544,2.64,64.8
6,36,132.0,36,0,408.0,11.6667,11.6667,11.5,0.1667,7.8764,2.46,59.8
7,42,126.0,42,0,478.0,12.1667,12.1667,12.1667,0.0,8.3395,2.26,54.6
8,48,120.0,48,0,551.0,12.1667,12.1667,10.0,2.1667,7.9789,2.16,51.3
9,54,114.0,54,0,624.0,11.8333,11.8333,12.0,-0.1667,7.7828,1.83,44.8
10,60,108.0,60,0,695.0,12.5,12.5,12.5,0.0,7.535,1.64,40.3
11,66,102.0,66,0,770.0,11.1667,11.1667,12.8333,-1.6667,6.5615,1.4,3780.6
12,72,96.0,72,0,837.0,11.1722,11.1722,11.1667,0.0056,6.3443,1.39,4370.2
13,78,90.0,78,0,904.033,11.1611,11.1611,11.1611,0.0,5.874,1.07,3971.9
14,84,84.0,84,0,971.0,11.5,11.5,11.5,0.0,7.0555,0.96,4004.3
15,90,78.0,90,0,1040.0,11.5,11.5,11.5,0.0,6.8989,0.84,989.1
16,96,72.0,96,0,1109.0,12.5,12.5,12.5,0.0,8.1973,0.75,16.9
17,102,66.0,102,0,1184.0,11.5,11.5,11.6667,-0.1667,7.3891,0.6,2970.8
18,108,60.0,108,0,1253.0,12.1667,12.1667,12.1667,0.0,9.7118,0.49,11.8
19,114,54.0,114,0,1326.0,11.6667,11.6667,11.6667,0.0,7.7783,0.39,1958.9
20,120,48.0,120,0,1396.0,11.8333,11.8333,11.3333,0.5,9.644,0.32,7.6
21,126,42.0,126,0,1467.0,10.6667,10.6667,10.6667,0.0,6.3575,0.25,6.1
22,132,36.0,132,0,1531.0,10.9758,10.9758,11.1667,-0.1909,6.4186,0.22,4.7
23,138,30.0,138,0,1596.855,11.5242,11.5242,11.5242,0.0,6.0327,0.14,3.1
24,144,24.0,144,0,1666.0,11.3333,11.3333,11.3333,0.0,5.8814,0.08,3.2
25,150,18.0,150,0,1734.0,12.6667,12.6667,12.6667,0.0,8.2299,0.04,1.0
26,156,12.0,156,0,1810.0,13.1667,13.1667,13.1667,0.0,7.1307,0.02,0.5
27,162,6.0,162,0,1889.0,10.9498,10.9498,10.9498,0.0,6.0342,0.0,0.1
