k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,72,12,7.95553
1,6,72,144,12,7.21396
2,12,144,214,11.6667,6.98566
3,18,214,285,11.8333,6.88435
4,24,285,354,11.5,5.9205
5,30,354,428,12.3333,7.88429
6,36,428,501,12.1667,7.06604
7,42,501,573,12,7.7076
8,48,573,646,12.1667,7.16527
9,54,646,718,12,7.1081
10,60,718,788,11.6667,7.52947
11,66,788,860,12,7.77371
12,72,860,931,11.8333,8.05979
13,78,931,1002,11.8333,8.08857
14,84,1002,1073,11.8333,7.76474
15,90,1073,1145,12,7.02694
16,96,1145,1217,12,6.98337
17,102,1217,1289,12,6.91299
18,108,1289,1362,12.1667,6.60193
19,114,1362,1434,12,6.44268
20,120,1434,1505,11.8333,7.10634
21,126,1505,1579,12.3333,7.58549
22,132,1579,1654,12.5,7.43414
23,138,1654,1726,12,7.23151
24,144,1726,1798,12,6.91621
25,150,1798,1873,12.5,8.28394
26,156,1873,1948,12.5,8.62478
27,162,1948,2026,13,8.67344
28,168,2026,2102,12.6667,8.25912
29,174,2102,2174,12,8.52709
30,180,2174,2248,12.3333,8.76827
31,186,2248,2325,12.8333,9.6671
32,192,2325,2398,12.1667,8.57345
33,198,2398,2472,12.3333,8.80015
34,204,2472,2546,12.3333,7.99882
35,210,2546,2618,12,7.6764
36,216,2618,2688,11.6667,7.55607
37,222,2688,2759,11.8333,7.71249
38,228,2759,2830,11.8333,8.01693
39,234,2830,2902,12,7.93048
40,240,2902,2973,11.8333,7.39796
41,246,2973,3044,11.8333,7.62326
42,252,3044,3117,12.1667,8.55625
43,258,3117,3190,12.1667,7.99548
44,264,3190,3266,12.6667,9.14085
45,270,3266,3342,12.6667,9.19266
46,276,3342,3393,12.75,6.24093
