k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,76,12.6667,8.84386
1,6,76,153,12.8333,9.21508
2,12,153,230,12.8333,7.63609
3,18,230,306,12.6667,8.62353
4,24,306,376,11.6667,6.48091
5,30,376,442,11,6.17969
6,36,442,517,12.5,8.84898
7,42,517,595,13,8.23113
8,48,595,671,12.6667,7.47135
9,54,671,747,12.6667,7.26397
10,60,747,824,12.8333,7.59042
11,66,824,900,12.6667,6.97174
12,72,900,973,12.1667,7.23489
13,78,973,1046,12.1667,7.52263
14,84,1046,1117,11.8333,7.84513
15,90,1117,1188,11.8333,8.22178
16,96,1188,1264,12.6667,7.96197
17,102,1264,1339,12.5,8.13311
18,108,1339,1412,12.1667,8.30544
19,114,1412,1485,12.1667,8.16223
20,120,1485,1558,12.1667,8.13332
21,126,1558,1633,12.5,7.99785
22,132,1633,1707,12.3333,8.22398
23,138,1707,1783,12.6667,7.78439
24,144,1783,1857,12.3333,7.9285
25,150,1857,1931,12.3333,7.85463
26,156,1931,2003,12,7.3178
27,162,2003,2075,12,7.65891
28,168,2075,2147,12,7.67029
29,174,2147,2215,11.3333,7.94077
30,180,2215,2284,11.5,7.13999
31,186,2284,2354,11.6667,7.23899
32,192,2354,2425,11.8333,6.65612
33,198,2425,2496,11.8333,7.27296
34,204,2496,2568,12,7.21175
35,210,2568,2639,11.8333,7.30279
36,216,2639,2710,11.8333,7.43581
37,222,2710,2782,12,7.1917
38,228,2782,2854,12,6.68465
39,234,2854,2926,12,7.08333
40,240,2926,2995,11.5,7.25011
41,246,2995,3065,11.6667,7.49961
42,252,3065,3136,11.8333,7.24186
43,258,3136,3206,11.6667,6.85318
44,264,3206,3276,11.6667,6.96407
45,270,3276,3346,11.6667,7.32338
46,276,3346,3393,11.75,4.75379
