k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,1406,280,1404,2,0,12,,,6.37652,0.308417
1,1412,274,1410,2,72,10.3333,10.3333,0,4.88133,0.299931
2,1418,268,1416,2,134,12,11.5,0.5,7.91869,0.283265
3,1424,262,1422,2,206,12.6667,12.5,0.166667,8.53456,0.274059
4,1430,256,1428,2,282,12,12,0,7.75488,0.264461
5,1436,250,1434,2,354,12.5,12.5,0,8.78917,0.2478
6,1442,244,1440,2,429,12.3333,12.3333,0,8.89762,0.232786
7,1448,238,1446,2,503,13,13,0,8.61419,0.227063
8,1454,232,1452,2,581,12.6667,12.6667,0,8.6686,0.215084
9,1460,226,1458,2,657,12.6667,12.6667,0,9.54767,0.203775
10,1466,220,1464,2,733,11.8333,12.8333,-1,6.3213,0.193076
11,1472,214,1470,2,804,13.1667,11.8333,1.33333,7.67223,0.178329
12,1478,208,1476,2,883,13,13,0,9.00631,0.160707
13,1484,202,1482,2,961,12.1667,11.8333,0.333333,7.27656,0.156872
14,1490,196,1488,2,1034,11.6667,12.1667,-0.5,6.56778,0.129764
15,1496,190,1494,2,1104,12.6667,12,0.666667,7.97532,0.140285
16,1502,184,1500,2,1180,12.5,12.5,0,7.76648,0.113476
17,1508,178,1506,2,1255,12.1778,12.1778,0,7.04488,0.104094
18,1514,172,1512,2,1328.07,12.3222,12.4202,-0.0980308,7.65574,0.0852048
19,1520,166,1518,2,1402,12.1667,12.1667,0,6.89301,0.0786067
20,1526,160,1524,2,1475,11.8333,11.8333,0,6.51698,0.0720353
21,1532,154,1530,2,1546,11.4998,11.4998,0,6.29851,0.0747386
22,1538,148,1536,2,1615,11.6668,11.6668,0,6.49273,0.0668611
23,1544,142,1542,2,1685,11.6667,11.6667,0,6.4836,0.0583577
24,1550,136,1548,2,1755,13.3333,13.3333,0,9.44057,0.057153
25,1556,130,1554,2,1835,10.5,10.5,0,4.83036,0.0520384
26,1562,124,1560,2,1898,12.6667,10.5,2.16667,8.38057,0.0571237
27,1568,118,1566,2,1974,12.1798,12.8333,-0.653513,7.80639,0.0445645
28,1574,112,1572,2,2047.08,12.6535,12.6535,0,8.37655,0.0378179
29,1580,106,1578,2,2123,12.1667,12.3333,-0.166667,7.5161,0.031072
30,1586,100,1584,2,2196,11.8333,11.8333,0,7.20267,0.0285406
31,1592,94,1590,2,2267,12.1667,12.1667,0,8.36319,0.0244005
32,1598,88,1596,2,2340,10.1667,11.6667,-1.5,4.55145,0.0208033
33,1604,82,1602,2,2401,12.3333,11.1667,1.16667,8.19732,0.0207992
34,1610,76,1608,2,2475,11.6667,13.3333,-1.66667,6.09182,0.0162597
35,1616,70,1614,2,2545,11.6667,11.6667,0,5.59052,0.0135425
36,1622,64,1620,2,2615,11.6667,11.8333,-0.166667,5.41996,0.0109319
37,1628,58,1626,2,2685,11.5,12,-0.5,5.68403,0.0091375
38,1634,52,1632,2,2754,11.7767,11.6667,0.109984,5.65772,0.00711517
39,1640,46,1638,2,2824.66,9.89002,12.39,-2.5,2.93098,0.00539687
40,1646,40,1644,2,2884,12.6667,15,-2.33333,7.1011,0.00436483
41,1652,34,1650,2,2960,12.3333,12.3333,0,7.91574,0.00357421
42,1658,28,1656,2,3034,13,13,0,9.91684,0.00193646
43,1664,22,1662,2,3112,13.3333,13.3333,0,10.5383,0.00119367
44,1670,16,1668,2,3192,12.3333,12.3333,0,8.12407,0.000656375
45,1676,10,1674,2,3266,12.5,12.5,0,8.23713,0.000193375
46,1682,4,1680,2,3341,13.06,13.06,0,6.28313,4.9375e-05
