k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,1176,168,1176,0,0,11.5,,,7.42387,6.57571
1,1182,162,1182,0,69,11.5,11.8333,-0.333333,7.14325,6.10213
2,1188,156,1188,0,138,12.1667,12.1667,0,7.37616,5.70407
3,1194,150,1194,0,211,12.5,12.1667,0.333333,8.44086,5.33121
4,1200,144,1200,0,286,12.1667,12.6667,-0.5,7.17806,5.006
5,1206,138,1206,0,359,12.8333,11.8333,1,9.07524,4.71015
6,1212,132,1212,0,436,12.8333,12.6667,0.166667,9.07341,4.16865
7,1218,126,1218,0,513,12.6667,13,-0.333333,7.96451,3.74587
8,1224,120,1224,0,589,12.3333,12.1667,0.166667,7.81408,3.46211
9,1230,114,1230,0,663,12.3333,11.8333,0.5,8.59067,3.03054
10,1236,108,1236,0,737,12,11.5,0.5,8.45841,2.78133
11,1242,102,1242,0,809,11.8333,11.3333,0.5,8.79747,2.39613
12,1248,96,1248,0,880,12.1667,12.3333,-0.166667,9.27499,2.19081
13,1254,90,1254,0,953,11.6667,11.5,0.166667,6.38355,1.92138
14,1260,84,1260,0,1023,11.6667,11.6667,0,6.56803,1.65357
15,1266,78,1266,0,1093,11.8333,12,-0.166667,7.55484,1.43948
16,1272,72,1272,0,1164,12,12,0,7.5561,1.25134
17,1278,66,1278,0,1236,12.1667,12.1667,0,7.53068,0.999568
18,1284,60,1284,0,1309,12.1667,12.1667,0,7.90875,0.963038
19,1290,54,1290,0,1382,11.8333,11.8333,0,8.15961,0.681513
20,1296,48,1296,0,1453,11,10.5,0.5,6.82865,0.515774
21,1302,42,1302,0,1519,10.8333,10.5,0.333333,6.58947,0.396474
22,1308,36,1308,0,1584,11,11.1667,-0.166667,6.11207,0.312306
23,1314,30,1314,0,1650,11.1667,11.5,-0.333333,5.89869,0.197571
24,1320,24,1320,0,1717,11.3333,11.6667,-0.333333,5.31877,0.107616
25,1326,18,1326,0,1785,9.16667,9,0.166667,3.77978,0.0419853
26,1332,12,1332,0,1840,10,10,0,4.19326,0.0157285
27,1338,6,1338,0,1900,9.16667,9.16667,0,3.71432,0.000387458
