k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,72,12,9.21293
1,6,72,140,11.3333,7.50247
2,12,140,211,11.8333,7.88074
3,18,211,280,11.5,8.29358
4,24,280,349,11.5,7.47615
5,30,349,423,12.3333,8.69687
6,36,423,494,11.8333,5.97751
7,42,494,561,11.1667,6.18685
8,48,561,631,11.6667,6.31703
9,54,631,704,12.1667,7.1011
10,60,704,771,11.1667,6.86028
11,66,771,841,11.6667,7.36368
12,72,841,904,10.5,6.60683
13,78,904,970,11,7.83074
14,84,970,1041,11.8333,8.14187
15,90,1041,1109,11.3333,7.02571
16,96,1109,1184,12.5,8.74383
17,102,1184,1254,11.6667,5.92745
18,108,1254,1327,12.1667,7.09125
19,114,1327,1395,11.3333,6.77716
20,120,1395,1467,12,7.21891
21,126,1467,1535,11.3333,6.59809
22,132,1535,1602,11.1667,6.34619
23,138,1602,1666,10.6667,5.60103
24,144,1666,1734,11.3333,6.44899
25,150,1734,1810,12.6667,8.55285
26,156,1810,1889,13.1667,7.86233
27,162,1889,1954.7,10.9498,6.27008
