route,sh,F_DP,band_viol_legs,worst_sog,sweep_bound_mt,sweep_bound_pct,max_node_mt,F_polished,recovered_mt,recovered_pct,polish_sweeps,wall_s
route1,6,353.955,0,14.21,0.6876,0.1943,0.0687,353.231,0.7237,0.2045,18,43.3
route1,286,355.216,0,14.67,1.1561,0.3255,0.3106,353.96,1.256,0.3536,12,41.4
route1,566,336.955,0,14.21,1.4402,0.4274,0.3186,335.614,1.3409,0.3979,8,41.1
route1,846,347.988,0,14.21,0.7417,0.2131,0.0788,347.211,0.7775,0.2234,13,42.6
route1,1126,336.925,1,14.21,1.5583,0.4625,0.5161,335.331,1.5934,0.4729,10,41.6
route1,1406,334.558,2,15.779,1.2915,0.386,0.3418,333.37,1.1882,0.3551,8,40.7
route1,1686,345.395,1,14.524,0.821,0.2377,0.1319,344.514,0.881,0.2551,10,40.7
route2,0,202.484,0,13.911,0.478,0.2361,0.1146,202.001,0.4832,0.2386,7,37.2
route2,168,204.786,1,13.751,0.3824,0.1867,0.0261,204.445,0.3405,0.1663,6,39.4
route2,336,194.343,0,14.167,0.7967,0.4099,0.1775,193.435,0.908,0.4672,18,40.6
route2,504,205.848,0,14.337,0.679,0.3299,0.1841,205.028,0.8201,0.3984,13,40.1
route2,672,215.6,0,14.23,0.6929,0.3214,0.0908,214.903,0.6964,0.323,8,39.8
route2,840,190.307,1,13.667,0.4618,0.2426,0.0654,189.854,0.4534,0.2383,7,38.8
route2,1008,226.642,0,14.559,0.5862,0.2586,0.1316,225.781,0.8608,0.3798,20,41.3
route2,1176,194.69,0,13.911,0.5126,0.2633,0.0753,194.16,0.5293,0.2719,7,38.8
route2,1344,194.673,1,13.409,1.0772,0.5533,0.2079,193.654,1.0196,0.5238,8,38.5
route2,1512,192.714,0,13.167,1.5808,0.8203,0.3026,191.045,1.6686,0.8659,8,37.7
route2,1680,198.089,0,13.333,1.0467,0.5284,0.4348,196.928,1.161,0.5861,12,39.5
route2,1848,198.329,0,14.167,0.9534,0.4807,0.2531,197.004,1.3249,0.668,15,39.7
