route,label,voyage_idx,sh_base,eta_h,partition,sr_fuel_mt,luo_fuel_mt,gap_mt,gap_pct,sr_voyage_time_h,luo_voyage_time_h,sr_n_nodes,sr_n_edges,sr_wall_s,luo_wall_s
route1,Malacca,0,6,280,geo,353.96755746648313,360.643,6.675443,1.850984,280.0,280.0,152571,9214780,24.56,30.15
route1,Malacca,1,286,280,geo,354.651154871962,363.919,9.267845,2.546678,280.0,280.0,152571,9214780,24.79,28.3
route1,Malacca,2,566,280,geo,338.61939792696387,343.734,5.114602,1.487953,280.0,280.0,152571,9214780,24.64,32.35
route1,Malacca,3,846,280,geo,347.7980829530574,352.542,4.743917,1.345632,280.0,280.0,152571,9214780,24.54,25.34
route1,Malacca,4,1126,280,geo,337.7239199528153,340.972,3.24808,0.952594,280.0,280.0,152571,9214780,24.46,28.66
route1,Malacca,5,1406,280,geo,335.4785624436416,344.498,9.019438,2.618139,280.0,280.0,152571,9214780,25.11,28.55
route1,Malacca,6,1686,280,geo,346.37757989487517,352.526,6.14842,1.744104,280.0,280.0,152571,9214780,24.39,25.64
route1,Malacca,7,1966,280,geo,331.35770187093203,338.456,7.098298,2.097259,280.0,280.0,152571,9214780,24.48,28.89
route1,Malacca,8,2246,280,geo,339.1151452096306,343.371,4.255855,1.239433,280.0,280.0,152571,9214780,24.67,28.7
route1,Malacca,9,2526,280,geo,348.96516667465477,355.384,6.418833,1.806168,280.0,280.0,152571,9214780,24.61,26.21
route1,Malacca,10,2806,280,geo,356.17573012287136,365.995,9.81927,2.682897,280.0,280.0,152571,9214780,25.17,29.71
route1,Malacca,11,3086,280,geo,347.53227930635813,353.863,6.330721,1.789032,280.0,280.0,152571,9214780,24.96,29.31
route1,Malacca,12,3366,280,geo,361.0060634773441,365.318,4.311937,1.180324,280.0,280.0,152571,9214780,25.59,26.57
route1,Malacca,13,3646,280,geo,350.3983713061281,355.944,5.545629,1.558006,280.0,280.0,152571,9214780,26.36,30.43
route1,Malacca,14,3926,280,geo,356.8645702331224,362.789,5.92443,1.633024,280.0,280.0,152571,9214780,25.05,30.05
route2,Atlantic,0,0,168,geo,203.35749287031857,210.48,7.122507,3.383935,168.0,168.0,71861,4325288,39.39,37.71
route2,Atlantic,1,168,168,geo,204.24057592805977,209.522,5.281424,2.520701,168.0,168.0,71861,4325288,38.07,37.56
route2,Atlantic,2,336,168,geo,197.0535531974582,202.78,5.726447,2.82397,168.0,168.0,71861,4325288,38.26,38.09
route2,Atlantic,3,504,168,geo,206.33204459384348,212.688,6.355955,2.988394,168.0,168.0,71861,4325288,38.3,37.93
route2,Atlantic,4,672,168,geo,216.28377196207614,223.583,7.299228,3.264661,168.0,168.0,71861,4325288,39.24,40.75
route2,Atlantic,5,840,168,geo,190.72688477800153,197.298,6.571115,3.330553,168.0,168.0,71861,4325288,38.74,38.13
route2,Atlantic,6,1008,168,geo,227.91351445226218,233.823,5.909486,2.527333,168.0,168.0,71861,4325288,38.47,38.59
route2,Atlantic,7,1176,168,geo,194.4552690221987,198.313,3.857731,1.945274,168.0,168.0,71861,4325288,38.18,37.87
route2,Atlantic,8,1344,168,geo,195.8257001746473,198.527,2.7013,1.360671,168.0,168.0,71861,4325288,38.29,38.01
route2,Atlantic,9,1512,168,geo,193.11116185503417,197.174,4.062838,2.060534,168.0,168.0,71861,4325288,38.4,38.72
route2,Atlantic,10,1680,168,geo,199.50839098890367,204.092,4.583609,2.245854,168.0,168.0,71861,4325288,39.03,38.53
route2,Atlantic,11,1848,168,geo,198.9271889016247,204.792,5.864811,2.863789,168.0,168.0,71861,4325288,38.39,38.12
route2,Atlantic,12,2016,168,geo,214.21007950074932,220.091,5.88092,2.67204,168.0,168.0,71861,4325288,38.41,38.53
route2,Atlantic,13,2184,168,geo,185.2643347781686,190.528,5.263665,2.762673,168.0,168.0,71861,4325288,39.16,38.22
route2,Atlantic,14,2352,168,geo,186.95857578867452,190.846,3.887424,2.036943,168.0,168.0,71861,4325288,39.05,39.03
route2,Atlantic,15,2520,168,geo,193.80948115340402,200.395,6.585519,3.286269,168.0,168.0,71861,4325288,38.41,38.1
route2,Atlantic,16,2688,168,geo,179.34355899558997,187.468,8.124441,4.333775,168.0,168.0,71861,4325288,38.26,38.17
route2,Atlantic,17,2856,168,geo,178.67662312920945,183.26,4.583377,2.501024,168.0,168.0,71861,4325288,38.75,38.25
route2,Atlantic,18,3024,168,geo,190.51808311922503,196.148,5.629917,2.870239,168.0,168.0,71861,4325288,38.5,38.43
route2,Atlantic,19,3192,168,geo,188.98303101356277,192.51,3.526969,1.832097,168.0,168.0,71861,4325288,38.35,38.25
route2,Atlantic,20,3360,168,geo,188.6216099066401,193.367,4.74539,2.454085,168.0,168.0,71861,4325288,38.32,38.43
route2,Atlantic,21,3528,168,geo,194.26695145896238,196.567,2.300049,1.170109,168.0,168.0,71861,4325288,38.77,38.59
route2,Atlantic,22,3696,168,geo,197.4565619561659,202.753,5.296438,2.612261,168.0,168.0,71861,4325288,38.34,38.42
route2,Atlantic,23,3864,168,geo,192.96039947921645,197.013,4.052601,2.057022,168.0,168.0,71861,4325288,38.41,38.55
route2,Atlantic,24,4032,168,geo,199.95582470938248,205.259,5.303175,2.583651,168.0,168.0,71861,4325288,38.52,38.7
route2,Atlantic,25,4200,168,geo,185.78945035569149,188.56,2.77055,1.46932,168.0,168.0,71861,4325288,39.22,38.62
