route,label,voyage_idx,sh_base,eta_h,partition,sr_fuel_mt,luo_fuel_mt,naive_fuel_mt,gap_mt,gap_pct,sr_voyage_time_h,luo_voyage_time_h,sr_n_nodes,sr_n_edges,sr_wall_s,luo_wall_s,naive_wall_s
route1,Malacca,0,6,280,geo,,,361.683,,,,,,,,,10.45
route1,Malacca,1,286,280,geo,,,366.273,,,,,,,,,10.45
route1,Malacca,2,566,280,geo,,,345.837,,,,,,,,,10.4
route1,Malacca,3,846,280,geo,,,353.947,,,,,,,,,10.44
route1,Malacca,4,1126,280,geo,,,342.769,,,,,,,,,10.45
route1,Malacca,5,1406,280,geo,,,346.444,,,,,,,,,10.49
route1,Malacca,6,1686,280,geo,,,355.208,,,,,,,,,10.51
route1,Malacca,7,1966,280,geo,,,339.633,,,,,,,,,10.55
route1,Malacca,8,2246,280,geo,,,345.606,,,,,,,,,10.66
route1,Malacca,9,2526,280,geo,,,358.355,,,,,,,,,10.68
route1,Malacca,10,2806,280,geo,,,368.207,,,,,,,,,10.77
route1,Malacca,11,3086,280,geo,,,356.527,,,,,,,,,10.72
route1,Malacca,12,3366,280,geo,,,369.455,,,,,,,,,10.76
route1,Malacca,13,3646,280,geo,,,357.585,,,,,,,,,10.68
route1,Malacca,14,3926,280,geo,,,365.656,,,,,,,,,10.67
route2,Atlantic,0,0,168,geo,,,212.609,,,,,,,,,31.76
route2,Atlantic,1,168,168,geo,,,212.775,,,,,,,,,30.77
route2,Atlantic,2,336,168,geo,,,203.647,,,,,,,,,30.91
route2,Atlantic,3,504,168,geo,,,214.538,,,,,,,,,30.87
route2,Atlantic,4,672,168,geo,,,225.978,,,,,,,,,30.79
route2,Atlantic,5,840,168,geo,,,200.496,,,,,,,,,30.84
route2,Atlantic,6,1008,168,geo,,,237.087,,,,,,,,,30.94
route2,Atlantic,7,1176,168,geo,,,200.425,,,,,,,,,31.1
route2,Atlantic,8,1344,168,geo,,,199.348,,,,,,,,,30.99
route2,Atlantic,9,1512,168,geo,,,198.987,,,,,,,,,31.05
route2,Atlantic,10,1680,168,geo,,,206.864,,,,,,,,,31.03
route2,Atlantic,11,1848,168,geo,,,206.103,,,,,,,,,30.99
route2,Atlantic,12,2016,168,geo,,,222.482,,,,,,,,,30.99
route2,Atlantic,13,2184,168,geo,,,192.448,,,,,,,,,30.94
route2,Atlantic,14,2352,168,geo,,,191.621,,,,,,,,,30.94
route2,Atlantic,15,2520,168,geo,,,201.6,,,,,,,,,30.93
route2,Atlantic,16,2688,168,geo,,,188.506,,,,,,,,,31.0
route2,Atlantic,17,2856,168,geo,,,185.405,,,,,,,,,31.06
route2,Atlantic,18,3024,168,geo,,,197.613,,,,,,,,,31.0
route2,Atlantic,19,3192,168,geo,,,194.095,,,,,,,,,31.0
route2,Atlantic,20,3360,168,geo,,,194.519,,,,,,,,,30.96
route2,Atlantic,21,3528,168,geo,,,198.104,,,,,,,,,30.99
route2,Atlantic,22,3696,168,geo,,,205.066,,,,,,,,,31.04
route2,Atlantic,23,3864,168,geo,,,198.703,,,,,,,,,30.98
route2,Atlantic,24,4032,168,geo,,,208.078,,,,,,,,,30.99
route2,Atlantic,25,4200,168,geo,,,190.725,,,,,,,,,30.99
