route,label,voyage_idx,sh_base,eta_h,partition,sr_fuel_mt,luo_fuel_mt,naive_fuel_mt,gap_mt,gap_pct,sr_voyage_time_h,luo_voyage_time_h,sr_n_nodes,sr_n_edges,sr_wall_s,luo_wall_s,naive_wall_s
route1,Malacca,0,6,280,waypoint,,,360.476,,,,,,,,,10.45
route1,Malacca,1,286,280,waypoint,,,366.055,,,,,,,,,10.43
route1,Malacca,2,566,280,waypoint,,,344.921,,,,,,,,,10.42
route1,Malacca,3,846,280,waypoint,,,353.278,,,,,,,,,10.44
route1,Malacca,4,1126,280,waypoint,,,342.546,,,,,,,,,10.46
route1,Malacca,5,1406,280,waypoint,,,345.693,,,,,,,,,10.48
route1,Malacca,6,1686,280,waypoint,,,353.88,,,,,,,,,10.51
route1,Malacca,7,1966,280,waypoint,,,339.354,,,,,,,,,10.55
route1,Malacca,8,2246,280,waypoint,,,346.468,,,,,,,,,10.66
route1,Malacca,9,2526,280,waypoint,,,359.138,,,,,,,,,10.68
route1,Malacca,10,2806,280,waypoint,,,368.212,,,,,,,,,10.76
route1,Malacca,11,3086,280,waypoint,,,355.813,,,,,,,,,10.73
route1,Malacca,12,3366,280,waypoint,,,367.639,,,,,,,,,10.75
route1,Malacca,13,3646,280,waypoint,,,357.941,,,,,,,,,10.69
route1,Malacca,14,3926,280,waypoint,,,365.263,,,,,,,,,10.67
route2,Atlantic,0,0,168,waypoint,,,211.7,,,,,,,,,31.89
route2,Atlantic,1,168,168,waypoint,,,213.114,,,,,,,,,30.77
route2,Atlantic,2,336,168,waypoint,,,204.479,,,,,,,,,30.95
route2,Atlantic,3,504,168,waypoint,,,212.912,,,,,,,,,30.91
route2,Atlantic,4,672,168,waypoint,,,226.028,,,,,,,,,30.82
route2,Atlantic,5,840,168,waypoint,,,200.753,,,,,,,,,30.87
route2,Atlantic,6,1008,168,waypoint,,,236.601,,,,,,,,,30.94
route2,Atlantic,7,1176,168,waypoint,,,199.284,,,,,,,,,31.17
route2,Atlantic,8,1344,168,waypoint,,,199.278,,,,,,,,,31.01
route2,Atlantic,9,1512,168,waypoint,,,198.417,,,,,,,,,31.06
route2,Atlantic,10,1680,168,waypoint,,,206.186,,,,,,,,,31.06
route2,Atlantic,11,1848,168,waypoint,,,204.833,,,,,,,,,30.99
route2,Atlantic,12,2016,168,waypoint,,,222.833,,,,,,,,,31.05
route2,Atlantic,13,2184,168,waypoint,,,192.237,,,,,,,,,31.0
route2,Atlantic,14,2352,168,waypoint,,,192.069,,,,,,,,,31.01
route2,Atlantic,15,2520,168,waypoint,,,201.803,,,,,,,,,31.01
route2,Atlantic,16,2688,168,waypoint,,,188.922,,,,,,,,,31.04
route2,Atlantic,17,2856,168,waypoint,,,185.457,,,,,,,,,31.14
route2,Atlantic,18,3024,168,waypoint,,,197.71,,,,,,,,,31.06
route2,Atlantic,19,3192,168,waypoint,,,194.29,,,,,,,,,31.06
route2,Atlantic,20,3360,168,waypoint,,,195.037,,,,,,,,,31.01
route2,Atlantic,21,3528,168,waypoint,,,197.509,,,,,,,,,31.02
route2,Atlantic,22,3696,168,waypoint,,,205.678,,,,,,,,,31.09
route2,Atlantic,23,3864,168,waypoint,,,198.448,,,,,,,,,31.05
route2,Atlantic,24,4032,168,waypoint,,,208.061,,,,,,,,,31.03
route2,Atlantic,25,4200,168,waypoint,,,191.034,,,,,,,,,30.99
