route,label,voyage_idx,sh_base,eta_h,partition,sr_fuel_mt,luo_fuel_mt,gap_mt,gap_pct,sr_voyage_time_h,luo_voyage_time_h,sr_n_nodes,sr_n_edges,sr_wall_s,luo_wall_s
route1,Malacca,0,6,280,waypoint,353.0494331538363,360.431,7.381567,2.047983,280.0,280.0,120844,7284107,21.38,22.14
route1,Malacca,1,286,280,waypoint,352.86176942645477,365.404,12.542231,3.432428,280.0,280.0,120844,7284107,21.52,23.73
route1,Malacca,2,566,280,waypoint,336.1843042817849,344.566,8.381696,2.432537,280.0,280.0,120844,7284107,21.52,24.92
route1,Malacca,3,846,280,waypoint,345.13195136595505,352.621,7.489049,2.123824,280.0,280.0,120844,7284107,21.65,21.18
route1,Malacca,4,1126,280,waypoint,336.15434523510396,342.211,6.056655,1.76986,280.0,280.0,120844,7284107,21.77,23.81
route1,Malacca,5,1406,280,waypoint,336.1536267264988,345.206,9.052373,2.622311,280.0,280.0,120844,7284107,21.92,23.95
route1,Malacca,6,1686,280,waypoint,344.0095153309236,351.9,7.890485,2.242252,280.0,280.0,120844,7284107,22.16,21.44
route1,Malacca,7,1966,280,waypoint,330.09546217175097,339.118,9.022538,2.660589,280.0,280.0,120844,7284107,21.39,24.05
route1,Malacca,8,2246,280,waypoint,336.6994153447484,345.287,8.587585,2.487086,280.0,280.0,120844,7284107,21.5,24.33
route1,Malacca,9,2526,280,waypoint,349.2012909015175,356.867,7.665709,2.148058,280.0,280.0,120844,7284107,21.75,21.95
route1,Malacca,10,2806,280,waypoint,353.30730771625406,366.549,13.241692,3.61253,280.0,280.0,120844,7284107,21.6,24.69
route1,Malacca,11,3086,280,waypoint,345.26404381766645,354.185,8.920956,2.518728,280.0,280.0,120844,7284107,21.89,24.45
route1,Malacca,12,3366,280,waypoint,358.6357932131154,365.437,6.801207,1.861116,280.0,280.0,120844,7284107,21.89,22.59
route1,Malacca,13,3646,280,waypoint,349.26543409592205,357.176,7.910566,2.214753,280.0,280.0,120844,7284107,22.51,24.79
route1,Malacca,14,3926,280,waypoint,355.83622666681293,363.997,8.160773,2.241989,280.0,280.0,120844,7284107,22.34,25.48
route2,Atlantic,0,0,168,waypoint,205.25365702153798,210.058,4.804343,2.287151,168.0,168.0,239435,14533161,55.26,47.01
route2,Atlantic,1,168,168,waypoint,207.52986981744925,210.573,3.04313,1.445166,168.0,168.0,239435,14533161,55.29,46.05
route2,Atlantic,2,336,168,waypoint,199.89844640308456,203.321,3.422554,1.683325,168.0,168.0,239435,14533161,54.14,45.99
route2,Atlantic,3,504,168,waypoint,206.39090459261902,212.051,5.660095,2.669214,168.0,168.0,239435,14533161,53.92,46.52
route2,Atlantic,4,672,168,waypoint,218.38186781574308,224.407,6.025132,2.684913,168.0,168.0,239435,14533161,54.48,48.33
route2,Atlantic,5,840,168,waypoint,197.03064325951934,198.405,1.374357,0.692703,168.0,168.0,239435,14533161,54.6,46.71
route2,Atlantic,6,1008,168,waypoint,228.97074767319222,233.79,4.819252,2.061359,168.0,168.0,239435,14533161,56.0,46.71
route2,Atlantic,7,1176,168,waypoint,195.88069765455475,198.588,2.707302,1.363276,168.0,168.0,239435,14533161,53.58,46.71
route2,Atlantic,8,1344,168,waypoint,197.24959373999067,198.621,1.371406,0.690464,168.0,168.0,239435,14533161,53.64,47.8
route2,Atlantic,9,1512,168,waypoint,193.43406366203416,196.436,3.001936,1.528201,168.0,168.0,239435,14533161,54.88,46.8
route2,Atlantic,10,1680,168,waypoint,199.8535027568723,203.508,3.654497,1.795751,168.0,168.0,239435,14533161,54.29,46.81
route2,Atlantic,11,1848,168,waypoint,202.4094277647202,204.25,1.840572,0.901137,168.0,168.0,239435,14533161,54.08,47.24
route2,Atlantic,12,2016,168,waypoint,216.80989449148996,220.75,3.940106,1.784872,168.0,168.0,239435,14533161,55.5,47.38
route2,Atlantic,13,2184,168,waypoint,188.17821257733138,190.249,2.070787,1.088462,168.0,168.0,239435,14533161,54.07,47.16
route2,Atlantic,14,2352,168,waypoint,190.12623874665925,191.205,1.078761,0.564191,168.0,168.0,239435,14533161,53.75,47.25
route2,Atlantic,15,2520,168,waypoint,196.36458243625202,199.407,3.042418,1.525733,168.0,168.0,239435,14533161,53.9,47.25
route2,Atlantic,16,2688,168,waypoint,185.0231755048198,187.698,2.674824,1.425068,168.0,168.0,239435,14533161,54.26,47.38
route2,Atlantic,17,2856,168,waypoint,181.93370035486208,182.893,0.9593,0.524514,168.0,168.0,239435,14533161,53.98,47.58
route2,Atlantic,18,3024,168,waypoint,193.68700116234007,196.724,3.036999,1.543787,168.0,168.0,239435,14533161,53.61,47.37
route2,Atlantic,19,3192,168,waypoint,190.6414711255325,192.456,1.814529,0.942828,168.0,168.0,239435,14533161,54.37,47.78
route2,Atlantic,20,3360,168,waypoint,192.59266449131152,193.636,1.043336,0.538813,168.0,168.0,239435,14533161,54.82,47.63
route2,Atlantic,21,3528,168,waypoint,195.76217005083703,196.479,0.71683,0.364838,168.0,168.0,239435,14533161,54.38,47.77
route2,Atlantic,22,3696,168,waypoint,201.924645830945,204.075,2.150354,1.053708,168.0,168.0,239435,14533161,53.78,47.84
route2,Atlantic,23,3864,168,waypoint,192.97658132738601,196.657,3.680419,1.871491,168.0,168.0,239435,14533161,54.29,48.62
route2,Atlantic,24,4032,168,waypoint,202.39411871095905,205.996,3.601881,1.74852,168.0,168.0,239435,14533161,53.66,49.05
route2,Atlantic,25,4200,168,waypoint,187.66296228409294,189.553,1.890038,0.997103,168.0,168.0,239435,14533161,55.24,48.17
