route,voyage_idx,sh_base,eta_h,partition,L_nm,oracle_sr,oracle_luo,naive_mt,rh_sr_mt,rh_luo_mt,rh_sr_vs_naive_pct,rh_luo_vs_naive_pct,rh_sr_vs_oracle_mt,rh_luo_vs_oracle_mt,sr_gates_ok,luo_gates_ok,arrival_h,n_replans
route1,0,6,280,waypoint,3393.55,353.049,360.431,360.476,355.571,360.723,-1.36061,0.068492,2.52195,0.29151,True,False,280,47
route1,1,286,280,waypoint,3393.55,352.862,365.404,366.055,357.494,367.178,-2.33868,0.306891,4.63213,1.77439,True,False,280,47
route1,2,566,280,waypoint,3393.55,336.184,344.566,344.921,339.254,345.646,-1.64296,0.210189,3.07028,1.08017,True,False,280,47
route1,3,846,280,waypoint,3393.55,345.132,352.621,353.278,347.462,353.006,-1.64631,-0.0770689,2.33031,0.385113,True,True,280,47
route1,4,1126,280,waypoint,3393.55,336.154,342.211,342.546,340.098,343.116,-0.714677,0.166304,3.94404,0.904808,True,False,280,47
route1,5,1406,280,waypoint,3393.55,336.154,345.206,345.693,339.724,345.808,-1.72663,0.0333097,3.57003,0.602017,True,False,280,47
route1,6,1686,280,waypoint,3393.55,344.01,351.9,353.88,345.846,352.663,-2.27047,-0.343857,1.8355,0.763415,True,True,280,47
route1,7,1966,280,waypoint,3393.55,330.095,339.118,339.354,334.454,341.669,-1.44405,0.681991,4.35877,2.55059,True,False,280,47
route1,8,2246,280,waypoint,3393.55,336.699,345.287,346.468,343.963,347.548,-0.723193,0.311624,7.26361,2.26093,True,False,280,47
route1,9,2526,280,waypoint,3393.55,349.201,356.867,359.138,352.776,358.501,-1.77148,-0.177377,3.57458,1.63361,True,True,280,47
route1,10,2806,280,waypoint,3393.55,353.307,366.549,368.212,363.684,370.251,-1.22977,0.553695,10.3769,3.70179,True,False,280,47
route1,11,3086,280,waypoint,3393.55,345.264,354.185,355.813,348.314,354.121,-2.1074,-0.47557,3.05031,-0.0644253,True,False,280,47
route1,12,3366,280,waypoint,3393.55,358.636,365.437,367.639,365.561,365.947,-0.565346,-0.46039,6.92488,0.509736,True,True,280,47
route1,13,3646,280,waypoint,3393.55,349.265,357.176,357.941,353.312,358.94,-1.29331,0.279052,4.04663,1.76374,True,False,280,47
route1,14,3926,280,waypoint,3393.55,355.836,363.997,365.263,361.249,366.591,-1.0987,0.363601,5.41349,2.59374,True,False,280,47
route2,0,0,168,waypoint,1954.03,205.254,210.058,211.7,206.992,211.992,-2.22392,0.138058,1.73817,1.93448,True,False,168,28
route2,1,168,168,waypoint,1954.03,207.53,210.573,213.114,212.096,211.336,-0.477316,-0.833871,4.56634,0.763472,True,True,168,28
route2,2,336,168,waypoint,1954.03,199.898,203.321,204.479,201.933,203.768,-1.24541,-0.34769,2.03467,0.447318,True,True,168,28
route2,3,504,168,waypoint,1954.03,206.391,212.051,212.912,213.86,214.968,0.44525,0.965727,7.46865,2.91681,False,False,168,28
route2,4,672,168,waypoint,1954.03,218.382,224.407,226.028,225.568,225.932,-0.203495,-0.0424521,7.18565,1.52465,True,True,168,28
route2,5,840,168,waypoint,1954.03,197.031,198.405,200.753,200.295,200.642,-0.228159,-0.0553883,3.26436,2.2372,True,True,168,28
route2,6,1008,168,waypoint,1954.03,228.971,233.79,236.601,232.723,234.758,-1.63883,-0.778988,3.75223,0.967628,True,True,168,28
route2,7,1176,168,waypoint,1954.03,195.881,198.588,199.284,197.511,200.389,-0.889718,0.554635,1.62979,1.80115,True,False,168,28
route2,8,1344,168,waypoint,1954.03,197.25,198.621,199.278,199.408,199.779,0.0652574,0.251759,2.15771,1.15836,False,False,168,28
route2,9,1512,168,waypoint,1954.03,193.434,196.436,198.417,198.671,197.617,0.128201,-0.402828,5.23694,1.18129,False,True,168,28
route2,10,1680,168,waypoint,1954.03,199.854,203.508,206.186,203.062,204.191,-1.51496,-0.967262,3.20803,0.683297,True,True,168,28
route2,11,1848,168,waypoint,1954.03,202.409,204.25,204.833,206.458,204.889,0.793331,0.0274669,4.04901,0.639264,False,False,168,28
route2,12,2016,168,waypoint,1954.03,216.81,220.75,222.833,220.963,222.523,-0.839272,-0.139124,4.153,1.77316,True,True,168,28
route2,13,2184,168,waypoint,1954.03,188.178,190.249,192.237,191.192,190.669,-0.543508,-0.815786,3.01431,0.419893,True,True,168,28
route2,14,2352,168,waypoint,1954.03,190.126,191.205,192.069,194.553,191.96,1.29322,-0.0565907,4.42699,0.755416,False,True,168,28
route2,15,2520,168,waypoint,1954.03,196.365,199.407,201.803,199.448,201.313,-1.16729,-0.243002,3.08278,1.90601,True,True,168,28
route2,16,2688,168,waypoint,1954.03,185.023,187.698,188.922,189.744,188.556,0.435354,-0.193816,4.72148,0.857837,False,True,168,28
route2,17,2856,168,waypoint,1954.03,181.934,182.893,185.457,184.516,185.038,-0.507154,-0.225801,2.58196,2.14475,True,True,168,28
route2,18,3024,168,waypoint,1954.03,193.687,196.724,197.71,200.644,198.36,1.48397,0.328678,6.95713,1.636,False,False,168,28
route2,19,3192,168,waypoint,1954.03,190.641,192.456,194.29,194.258,192.848,-0.016698,-0.742328,3.61667,0.391841,True,True,168,28
route2,20,3360,168,waypoint,1954.03,192.593,193.636,195.037,196.69,195.674,0.847466,0.326342,4.09736,2.03797,False,False,168,28
route2,21,3528,168,waypoint,1954.03,195.762,196.479,197.509,198.555,197.147,0.529399,-0.183387,2.79272,0.667902,False,True,168,28
route2,22,3696,168,waypoint,1954.03,201.925,204.075,205.678,206.431,208.629,0.365741,1.4348,4.50554,4.55436,False,False,168,28
route2,23,3864,168,waypoint,1954.03,192.977,196.657,198.448,194.873,197.449,-1.80126,-0.503367,1.89637,0.792021,True,True,168,28
route2,24,4032,168,waypoint,1954.03,202.394,205.996,208.061,208.779,208.125,0.345107,0.030818,6.38459,2.12868,False,False,168,28
route2,25,4200,168,waypoint,1954.03,187.663,189.553,191.034,190.573,190.003,-0.241168,-0.539548,2.90985,0.449844,True,True,168,28
