k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,74.9495,12.4916,9.12805
1,6,74.9495,146,11.8418,8.70568
2,12,146,223,12.8333,8.00806
3,18,223,298,12.5,9.13816
4,24,298,373,12.5,10.1151
5,30,373,448,12.5,9.54017
6,36,448,519,11.8333,7.72606
7,42,519,590,11.8333,6.71734
8,48,590,659,11.5,6.2051
9,54,659,727,11.3333,6.98361
10,60,727,802,12.5,9.49176
11,66,802,875,12.1667,8.19879
12,72,875,950,12.5,8.65353
13,78,950,1023,12.1667,8.14069
14,84,1023,1095,12,8.30442
15,90,1095,1168,12.1667,8.65637
16,96,1168,1240,12,7.87006
17,102,1240,1315,12.5,8.54236
18,108,1315,1388,12.1667,7.90148
19,114,1388,1460,12,7.97177
20,120,1460,1538,13,10.1051
21,126,1538,1607,11.5,6.86515
22,132,1607,1680,12.1667,7.00835
23,138,1680,1751.4,11.8997,6.72323
24,144,1751.4,1824,12.1003,6.78947
25,150,1824,1901,12.8333,6.86819
26,156,1901,1980,13.1667,6.62925
27,162,1980,2049,11.5,6.69243
28,168,2049,2122,12.1667,7.12992
29,174,2122,2194,12,7.10851
30,180,2194,2274,13.3333,9.25128
31,186,2274,2344.21,11.7017,7.25314
32,192,2344.21,2417,12.1316,7.8668
33,198,2417,2492,12.5,8.5284
34,204,2492,2567,12.5,8.73118
35,210,2567,2643,12.6667,7.8801
36,216,2643,2720,12.8333,6.8987
37,222,2720,2795,12.5,6.99979
38,228,2795,2867,12,7.34409
39,234,2867,2938,11.8333,7.54951
40,240,2938,3010,12,8.13877
41,246,3010,3093,13.8333,11.3692
42,252,3093,3154,10.1667,5.19464
43,258,3154,3220,11,5.65277
44,264,3220,3285,10.8333,5.62367
45,270,3285,3350,10.8333,5.39998
46,276,3350,3393.55,10.8872,3.64945
