k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,3926,280,3924,2,0,12.4916,,,9.12805,0.246091
1,3932,274,3930,2,74.9495,11.8418,12.4916,-0.64983,8.70568,0.200525
2,3938,268,3936,2,146,12.8333,12.8333,0,8.00806,0.186124
3,3944,262,3942,2,223,12.5,12.5,0,9.13816,0.175355
4,3950,256,3948,2,298,12.5,12.5,0,10.1151,0.177972
5,3956,250,3954,2,373,12.5,12.5,0,9.54017,0.177595
6,3962,244,3960,2,448,11.8333,12.3333,-0.5,7.72606,0.15746
7,3968,238,3966,2,519,11.8333,12.1667,-0.333333,6.71734,0.155934
8,3974,232,3972,2,590,11.5,11.3333,0.166667,6.2051,0.146959
9,3980,226,3978,2,659,11.3333,11.1667,0.166667,6.98361,0.125825
10,3986,220,3984,2,727,12.5,11.5,1,9.49176,0.125351
11,3992,214,3990,2,802,12.1667,13,-0.833333,8.19879,0.118097
12,3998,208,3996,2,875,12.5,12.5,0,8.65353,0.119569
13,4004,202,4002,2,950,12.1667,12.1667,0,8.14069,0.100421
14,4010,196,4008,2,1023,12,12,0,8.30442,0.0925711
15,4016,190,4014,2,1095,12.1667,12.1667,0,8.65637,0.0932608
16,4022,184,4020,2,1168,12,12.3333,-0.333333,7.87006,0.0820082
17,4028,178,4026,2,1240,12.5,12.5,0,8.54236,0.0747113
18,4034,172,4032,2,1315,12.1667,12.1667,0,7.90148,0.0860065
19,4040,166,4038,2,1388,12,11.8333,0.166667,7.97177,0.069223
20,4046,160,4044,2,1460,13,11.8333,1.16667,10.1051,0.0640906
21,4052,154,4050,2,1538,11.5,12,-0.5,6.86515,0.0562145
22,4058,148,4056,2,1607,12.1667,12,0.166667,7.00835,0.0520957
23,4064,142,4062,2,1680,11.8997,11.8333,0.0663741,6.72323,0.0473431
24,4070,136,4068,2,1751.4,12.1003,12.267,-0.166667,6.78947,0.0425087
25,4076,130,4074,2,1824,12.8333,12.8333,0,6.86819,0.0389112
26,4082,124,4080,2,1901,13.1667,12.8333,0.333333,6.62925,0.0382577
27,4088,118,4086,2,1980,11.5,12,-0.5,6.69243,0.0313768
28,4094,112,4092,2,2049,12.1667,12.1667,0,7.12992,0.0279318
29,4100,106,4098,2,2122,12,12,0,7.10851,0.024073
30,4106,100,4104,2,2194,13.3333,12.6667,0.666667,9.25128,0.0212678
31,4112,94,4110,2,2274,11.7017,12.5,-0.798306,7.25314,0.0186553
32,4118,88,4116,2,2344.21,12.1316,12.465,-0.333333,7.8668,0.0176966
33,4124,82,4122,2,2417,12.5,11.8333,0.666667,8.5284,0.01338
34,4130,76,4128,2,2492,12.5,12.6667,-0.166667,8.73118,0.0115255
35,4136,70,4134,2,2567,12.6667,13.0928,-0.426183,7.8801,0.00908379
36,4142,64,4140,2,2643,12.8333,12.8333,0,6.8987,0.00795279
37,4148,58,4146,2,2720,12.5,12.6667,-0.166667,6.99979,0.006185
38,4154,52,4152,2,2795,12,12,0,7.34409,0.00455083
39,4160,46,4158,2,2867,11.8333,11.8333,0,7.54951,0.00355158
40,4166,40,4164,2,2938,12,12,0,8.13877,0.00220846
41,4172,34,4170,2,3010,13.8333,13.8333,0,11.3692,0.00160708
42,4178,28,4176,2,3093,10.1667,10.1667,0,5.19464,0.00089325
43,4184,22,4182,2,3154,11,11,0,5.65277,0.000477625
44,4190,16,4188,2,3220,10.8333,10.8333,0,5.62367,0.000233167
45,4196,10,4194,2,3285,10.8333,10.8333,0,5.39998,0.000100125
46,4202,4,4200,2,3350,10.8872,10.8872,0,3.64945,1.95e-05
