k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,1008,168,1008,0,0,11.5,,,7.26588,14.2152
1,1014,162,1014,0,69,11.6667,12.1667,-0.5,7.06,13.5113
2,1020,156,1020,0,139,11.8333,12,-0.166667,6.28494,12.481
3,1026,150,1026,0,210,11.3333,11.5,-0.166667,6.32246,11.4998
4,1032,144,1032,0,278,11.6667,10.8333,0.833333,7.18644,10.5352
5,1038,138,1038,0,348,11,11.8333,-0.833333,6.86511,9.76468
6,1044,132,1044,0,414,12,11.3333,0.666667,7.50006,8.99336
7,1050,126,1050,0,486,10.8333,11.5,-0.666667,6.50508,8.05618
8,1056,120,1056,0,551,11.5,11.5,0,6.36765,7.29013
9,1062,114,1062,0,620,11.6667,11.3333,0.333333,7.56697,6.5775
10,1068,108,1068,0,690,11.6667,11.5,0.166667,6.94442,5.86858
11,1074,102,1074,0,760,10.1667,10.1667,0,6.80946,5.13861
12,1080,96,1080,0,821,11.3333,11.1667,0.166667,8.57026,4.63058
13,1086,90,1086,0,889,11.6667,11.1667,0.5,10.049,4.02708
14,1092,84,1092,0,959,11.5,14.1667,-2.66667,10.1257,3.55311
15,1098,78,1098,0,1028,13,14.1667,-1.16667,14.3958,3.0458
16,1104,72,1104,0,1106,13.8333,12.8333,1,16.4486,2.49864
17,1110,66,1110,0,1189,14.1667,13.8333,0.333333,16.8748,2.03278
18,1116,60,1116,0,1274,11.1667,12.3333,-1.16667,9.57339,1.60285
19,1122,54,1122,0,1341,12.1667,10.8333,1.33333,12.0105,1.30687
20,1128,48,1128,0,1414,11.3333,11.6667,-0.333333,8.55801,0.977072
21,1134,42,1134,0,1482,11.3333,11.1667,0.166667,6.95752,0.755578
22,1140,36,1140,0,1550,11,10.6667,0.333333,6.20537,0.517986
23,1146,30,1146,0,1616,11,10.8333,0.166667,6.18979,0.334929
24,1152,24,1152,0,1682,11,11,0,6.08968,0.193372
25,1158,18,1158,0,1748,11.3333,11.8333,-0.5,6.49472,0.0853772
26,1164,12,1164,0,1816,11.1667,10.8333,0.333333,6.16738,0.0200203
27,1170,6,1170,0,1883,11.8333,11.8333,0,7.36864,0.000526209
