k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,63,10.5,5.44432
1,6,63,137,12.3333,8.40667
2,12,137,213,12.6667,8.91912
3,18,213,284,11.8333,7.8324
4,24,284,348,10.6667,6.61458
5,30,348,408,10,6.72065
6,36,408,474,11,8.42313
7,42,474,542,11.3333,9.80045
8,48,542,609,11.1667,8.98397
9,54,609,683,12.3333,10.7833
10,60,683,759,12.6667,10.1353
11,66,759,829,11.6667,8.25978
12,72,829,902,12.1667,7.62157
13,78,902,977,12.5,7.50775
14,84,977,1049,12,6.52211
15,90,1049,1122,12.1667,6.62779
16,96,1122,1193,11.8333,7.54587
17,102,1193,1265,12,7.48976
18,108,1265,1339,12.3333,7.74242
19,114,1339,1413,12.3333,7.97074
20,120,1413,1489,12.6667,8.06969
21,126,1489,1560,11.8333,7.83611
22,132,1560,1634,12.3333,7.64852
23,138,1634,1707,12.1667,7.85332
24,144,1707,1773,11,5.80066
25,150,1773,1835,10.3333,3.75254
26,156,1835,1894,9.83333,4.43693
27,162,1894,1954,10,3.87992
